Theta, Alpha, Low_beta, High_beta, Gamma 
0.206597175,0.391185133,0.283372754,0.270868957,0.208181708
0.507820218,0.760426602,0.906169326,0.135042944,0.126795745
1.009147344,0.985290543,0.841604646,0.432235136,0.166164711
2.589738162,1.340187652,0.589007703,0.273674725,0.111673012
2.36800654,0.872966067,0.661593719,0.269081631,0.056559948
0.31970168,0.366949569,0.254479347,0.352032675,0.257324048
0.311526618,1.256971695,0.834564936,0.14504813,0.072963531
1.386071743,0.82805277,0.886687645,0.198437721,0.177388801
2.948696514,1.156241402,1.044766751,0.260041205,0.114259296
2.36800654,0.872966067,0.661593719,0.269081631,0.056559948
0.31970168,0.366949569,0.254479347,0.352032675,0.257324048
0.311526618,1.256971695,0.834564936,0.14504813,0.072963531
1.386071743,0.82805277,0.886687645,0.198437721,0.177388801
2.948696514,1.156241402,1.044766751,0.260041205,0.114259296
2.36800654,0.872966067,0.661593719,0.269081631,0.056559948
0.31970168,0.366949569,0.254479347,0.352032675,0.257324048
0.311526618,1.256971695,0.834564936,0.14504813,0.072963531
1.386071743,0.82805277,0.886687645,0.198437721,0.177388801
2.948696514,1.156241402,1.044766751,0.260041205,0.114259296
1.775943646,0.395587251,0.453693149,0.251725843,0.060060439
0.409875793,0.277273181,0.20817906,0.312636698,0.339955079
0.146176536,0.567449202,0.295167505,0.209583074,0.043123768
1.007612692,0.348383424,0.855355515,0.207865829,0.264050923
1.709969815,0.492633228,1.057732929,0.330871749,0.123195205
1.775943646,0.395587251,0.453693149,0.251725843,0.060060439
0.409875793,0.277273181,0.20817906,0.312636698,0.339955079
0.146176536,0.567449202,0.295167505,0.209583074,0.043123768
1.007612692,0.348383424,0.855355515,0.207865829,0.264050923
1.709969815,0.492633228,1.057732929,0.330871749,0.123195205
1.775943646,0.395587251,0.453693149,0.251725843,0.060060439
0.409875793,0.277273181,0.20817906,0.312636698,0.339955079
0.146176536,0.567449202,0.295167505,0.209583074,0.043123768
1.007612692,0.348383424,0.855355515,0.207865829,0.264050923
1.709969815,0.492633228,1.057732929,0.330871749,0.123195205
